Batch,SuccessRate,P50Latency(ms),MeanLatency(ms),StatusCodes,BytesInTotal,BytesInMean
1,0.9005555555555556,13.302,41.801,"200:3242 503:358",2885396,801.4988888888889
2,0.8869444444444444,13.135,43.161,"200:3193 503:407",2851941,792.2058333333333
3,0.8994444444444445,12.618,40.622,"200:3238 503:362",2884593,801.2758333333334
4,0.8975,14.855,44.029,"200:3231 503:369",2877531,799.3141666666667
5,0.9038888888888889,13.050,41.138,"200:3254 503:346",2895047,804.1797222222223
6,0.8927777777777778,12.379,41.421,"200:3214 503:386",2867253,796.4591666666666
7,0.8997222222222222,13.211,42.186,"200:3239 503:361",2884596,801.2766666666666
8,0.8847222222222222,11.910,42.667,"200:3185 503:415",2846025,790.5625
9,0.8861111111111111,11.789,42.102,"200:3190 503:410",2848864,791.3511111111111
10,0.8988888888888888,12.594,41.687,"200:3236 503:364",2881655,800.4597222222222
11,0.8958333333333334,13.473,42.793,"200:3225 503:375",2874545,798.4847222222222
12,0.9022222222222223,13.358,42.776,"200:3248 503:352",2890709,802.9747222222222
13,0.8947222222222222,11.549,40.922,"200:3221 503:379",2871369,797.6025
14,0.8858333333333334,11.044,41.713,"200:3189 503:411",2849115,791.4208333333333
15,0.8908333333333334,14.225,42.623,"200:3207 503:393",2862840,795.2333333333333
16,0.9033333333333333,13.190,41.958,"200:3252 503:348",2893344,803.7066666666667
17,0.9002777777777777,13.871,41.571,"200:3241 503:359",2884671,801.2975
18,0.8905555555555555,13.907,42.211,"200:3206 503:394",2861753,794.9313888888889
19,0.8980555555555556,12.073,41.478,"200:3233 503:367",2878837,799.6769444444444
20,0.8980555555555556,12.206,40.360,"200:3233 503:367",2880495,800.1375
21,0.8938888888888888,12.263,42.188,"200:3218 503:382",2869788,797.1633333333333
22,0.895,13.535,41.443,"200:3222 503:378",2871877,797.7436111111111
23,0.8838888888888888,12.059,42.448,"200:3182 503:418",2844503,790.1397222222222
24,0.9088888888888889,12.935,41.709,"200:3272 503:328",2906773,807.4369444444444
25,0.9047222222222222,12.271,41.397,"200:3257 503:343",2897191,804.7752777777778
26,0.8963888888888889,13.185,43.199,"200:3227 503:373",2875889,798.8580555555556
27,0.8916666666666667,13.592,42.745,"200:3210 503:390",2863691,795.4697222222222
28,0.8961111111111111,11.698,41.276,"200:3226 503:374",2875014,798.615
29,0.9,11.951,40.850,"200:3240 503:360",2886157,801.7102777777778
30,0.8958333333333334,13.162,41.430,"200:3225 503:375",2874120,798.3666666666667
31,0.8894444444444445,14.342,43.426,"200:3202 503:398",2857812,793.8366666666667
32,0.8852777777777778,13.257,43.278,"200:3187 503:413",2847871,791.0752777777777
33,0.9127777777777778,13.849,40.799,"200:3286 503:314",2916722,810.2005555555555
34,0.9016666666666666,11.974,41.004,"200:3246 503:354",2889060,802.5166666666667
35,0.9019444444444444,13.470,41.696,"200:3247 503:353",2890851,803.0141666666667
36,0.8891666666666667,13.520,43.850,"200:3201 503:399",2856766,793.5461111111111
37,0.8938888888888888,12.611,41.891,"200:3218 503:382",2868943,796.9286111111111
38,0.8988888888888888,13.882,42.218,"200:3236 503:364",2883785,801.0513888888889
39,0.9030555555555555,12.228,41.805,"200:3251 503:349",2892176,803.3822222222223
40,0.9058333333333334,14.065,41.795,"200:3261 503:339",2900520,805.7
41,0.9058333333333334,13.338,40.747,"200:3261 503:339",2899474,805.4094444444445
42,0.8855555555555555,12.244,59.580,"200:3188 503:412",2847461,790.9613888888889
43,0.9030555555555555,12.854,41.420,"200:3251 503:349",2893725,803.8125
44,0.9033333333333333,11.609,41.351,"200:3252 503:348",2893685,803.8013888888889
45,0.9072222222222223,12.328,39.784,"200:3266 503:334",2902187,806.1630555555555
46,0.8927777777777778,14.647,42.334,"200:3214 503:386",2867323,796.4786111111111
47,0.9072222222222223,13.451,41.402,"200:3266 503:334",2902526,806.2572222222223
48,0.8986111111111111,13.163,41.076,"200:3235 503:365",2882961,800.8225
49,0.9066666666666666,13.907,41.888,"200:3264 503:336",2901546,805.985
50,0.9019444444444444,13.213,40.055,"200:3247 503:353",2890419,802.8941666666667
51,0.8902777777777777,14.350,43.565,"200:3205 503:395",2859278,794.2438888888889
52,0.8925,12.004,42.473,"200:3213 503:387",2865817,796.0602777777777
53,0.8877777777777778,13.292,42.915,"200:3196 503:404",2854454,792.9038888888889
54,0.8936111111111111,13.220,41.985,"200:3217 503:383",2868118,796.6994444444445
55,0.8922222222222222,13.017,41.030,"200:3212 503:388",2865187,795.8852777777778
56,0.8933333333333333,13.334,42.189,"200:3216 503:384",2868239,796.7330555555556
57,0.9,14.220,42.642,"200:3240 503:360",2885586,801.5516666666666
58,0.8816666666666667,11.530,43.273,"200:3174 503:426",2836990,788.0527777777778
59,0.8969444444444444,12.099,41.922,"200:3229 503:371",2878340,799.5388888888889
60,0.8944444444444445,12.189,41.995,"200:3220 503:380",2870808,797.4466666666667
61,0.9016666666666666,12.585,40.495,"200:3246 503:354",2888125,802.2569444444445
62,0.895,12.384,41.255,"200:3222 503:378",2872734,797.9816666666667
63,0.8977777777777778,12.871,42.261,"200:3232 503:368",2879453,799.8480555555556
64,0.8875,13.631,42.281,"200:3195 503:405",2853691,792.6919444444444
65,0.8886111111111111,12.990,42.787,"200:3199 503:401",2855278,793.1327777777777
66,0.8972222222222223,12.241,41.598,"200:3230 503:370",2878208,799.5022222222223
67,0.9036111111111111,12.220,40.625,"200:3253 503:347",2894632,804.0644444444445
68,0.8997222222222222,13.546,40.885,"200:3239 503:361",2883541,800.9836111111111
69,0.8963888888888889,11.817,42.672,"200:3227 503:373",2875809,798.8358333333333
70,0.9016666666666666,13.632,41.536,"200:3246 503:354",2889050,802.5138888888889
71,0.9066666666666666,15.322,42.192,"200:3264 503:336",2902290,806.1916666666667
